Straight	10	0
Right	157.07963267949	50
Straight	10	0
Right	150.79644737231	48
Straight	10	0
Right	144.51326206513	46
Straight	10	0
Right	138.230076757951	44
Straight	10	0
Right	131.946891450771	42
Straight	10	0
Right	125.663706143592	40
Straight	10	0
Right	119.380520836412	38
Straight	10	0
Right	113.097335529233	36
Straight	10	0
Right	106.814150222053	34
Straight	10	0
Right	100.530964914873	32
Straight	10	0
Right	94.2477796076938	30
Straight	10	0
Right	87.9645943005142	28
Straight	10	0
Right	81.6814089933346	26
Straight	10	0
Right	75.398223686155	24
Straight	10	0
Right	69.1150383789754	22
Straight	10	0
Right	62.8318530717959	20
Straight	10	0
Right	56.5486677646163	18
Straight	10	0
Right	50.2654824574367	16
Straight	10	0
Right	43.9822971502571	14
Straight	10	0
Right	37.6991118430775	12
Straight	10	0
Right	31.4159265358979	10
Straight	10	0
Right	25.1327412287183	8
Straight	10	0
Right	18.8495559215388	6
Straight	10	0
Right	12.5663706143592	4
